name,position,team_name,ict_index_gw,opponent_team,starts_gw,total_points_gw,transfers_balance,value,was_home,avg_home_difficulty,avg_away_difficulty,avg_difficulty,team_id,opponent_team_difficulty,name_substring
Clément Lenglet,DEF,Aston Villa,0.0,19,0,0,106,45,True,2.631578947368421,3.0,2.8157894736842106,2.0,2.894736842105263,Lenglet
Gabriel Fernando de Jesus,FWD,Arsenal,1.5,7,1,2,-5821,79,False,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.8684210526315788,Jesus
Hannes Delcroix,DEF,Burnley,0.4,4,0,1,303,40,False,,,,,2.894736842105263,Delcroix
Dara O'Shea,DEF,Burnley,3.6,4,1,1,-549,44,False,,,,,2.894736842105263,O'Shea
Eric Dier,DEF,Spurs,0.0,10,0,0,-1625,42,True,2.631578947368421,3.0,2.8157894736842106,18.0,2.894736842105263,Dier
Joel Ward,DEF,Crystal Palace,2.4,15,1,0,-4663,45,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.8157894736842106,Ward
Harvey Barnes,MID,Newcastle,0.0,8,0,0,-14811,63,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8684210526315788,Barnes
Mateo Kovačić,MID,Man City,0.0,5,0,0,-1526,49,True,2.526315789473684,2.9473684210526314,2.736842105263157,13.0,2.894736842105263,Kovačić
Ashley Young,DEF,Everton,0.7,11,1,-3,-1427,44,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,8.0,2.894736842105263,Young
Aaron Cresswell,DEF,West Ham,0.0,2,0,0,-3646,42,False,2.6842105263157894,3.1052631578947367,2.894736842105263,19.0,2.8157894736842106,Cresswell
Sergio Reguilón,DEF,Man Utd,0.0,17,0,0,1785,44,False,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Reguilón
Morgan Gibbs-White,MID,Nott'm Forest,9.8,12,1,1,9190,58,True,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.763157894736842,Gibbs-White
Raphaël Varane,DEF,Man Utd,0.3,17,0,1,172,50,False,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Varane
Igor Julio dos Santos de Paulo,DEF,Brighton,1.2,13,1,0,-324,43,False,2.6842105263157894,3.1052631578947367,2.894736842105263,5.0,2.736842105263157,Paulo
Brandon Williams,DEF,Man Utd,0.0,17,0,0,-370,40,False,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Williams
Hugo Lloris,GK,Spurs,0.0,10,0,0,-1132,48,True,2.631578947368421,3.0,2.8157894736842106,18.0,2.894736842105263,Lloris
Fabian Schär,DEF,Newcastle,3.4,8,1,7,46976,52,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8684210526315788,Schär
Orel Mangala,MID,Nott'm Forest,2.6,12,1,2,-42,50,True,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.763157894736842,Mangala
Frederico Rodrigues de Paula Santos,MID,Man Utd,0.0,17,0,0,-85,50,False,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Santos
Marek Rodák,GK,Fulham,0.0,18,0,0,-931,40,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,9.0,2.8157894736842106,Rodák
Shandon Baptiste,MID,Brentford,0.0,6,0,0,-5986,43,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Baptiste
Michał Karbownik,DEF,Brighton,0.0,13,0,0,-38,40,False,2.6842105263157894,3.1052631578947367,2.894736842105263,5.0,2.736842105263157,Karbownik
Mason Burstow,FWD,Chelsea,0.0,1,0,0,-396,45,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.736842105263157,Burstow
André Onana,GK,Man Utd,3.2,17,1,3,-126198,49,False,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Onana
Julián Álvarez,FWD,Man City,6.5,5,1,9,50476,71,True,2.526315789473684,2.9473684210526314,2.736842105263157,13.0,2.894736842105263,Álvarez
Maxwel Cornet,MID,West Ham,0.0,2,0,0,-94,53,False,2.6842105263157894,3.1052631578947367,2.894736842105263,19.0,2.8157894736842106,Cornet
Terence Kongolo,DEF,Fulham,0.0,18,0,0,-441,40,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,9.0,2.8157894736842106,Kongolo
Caoimhin Kelleher,GK,Liverpool,0.0,9,0,0,961,39,True,2.5789473684210527,2.9473684210526314,2.763157894736842,12.0,2.8684210526315788,Kelleher
Ivan Neves Abreu Cavaleiro,MID,Fulham,0.0,18,0,0,-8,50,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,9.0,2.8157894736842106,Cavaleiro
Chris Mepham,DEF,Bournemouth,0.0,20,0,0,-141,43,True,2.6842105263157894,3.1052631578947367,2.894736842105263,3.0,2.894736842105263,Mepham
Facundo Buonanotte,MID,Brighton,0.0,13,0,0,-78,48,False,2.6842105263157894,3.1052631578947367,2.894736842105263,5.0,2.736842105263157,Buonanotte
Samuel Bastien,MID,Burnley,0.0,4,0,0,-98,49,False,,,,,2.894736842105263,Bastien
John Fleck,MID,Sheffield Utd,0.0,14,0,0,-1,49,True,,,,,2.8421052631578947,Fleck
Rodrigo Muniz Carvalho,FWD,Fulham,0.0,18,0,0,50,44,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,9.0,2.8157894736842106,Carvalho
Arijanet Muric,GK,Burnley,0.0,4,0,0,-520,44,False,,,,,2.894736842105263,Muric
Josh Cullen,MID,Burnley,2.5,4,1,1,-667,50,False,,,,,2.894736842105263,Cullen
Thomas Strakosha,GK,Brentford,0.0,6,0,0,35965,39,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Strakosha
Fábio Ferreira Vieira,MID,Arsenal,0.0,7,0,0,-862,54,False,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.8684210526315788,Vieira
Cheick Doucouré,MID,Crystal Palace,5.9,15,1,2,-1534,50,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.8157894736842106,Doucouré
Joe Hodge,MID,Wolves,0.0,3,0,0,-24,44,False,2.6842105263157894,3.1052631578947367,2.894736842105263,20.0,2.894736842105263,Hodge
Omari Forson,MID,Man Utd,0.0,17,0,0,-8,45,False,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Forson
Joel Matip,DEF,Liverpool,1.2,9,0,1,10277,49,True,2.5789473684210527,2.9473684210526314,2.763157894736842,12.0,2.8684210526315788,Matip
Callum Scanlon,DEF,Liverpool,0.0,9,0,0,0,40,True,2.5789473684210527,2.9473684210526314,2.763157894736842,12.0,2.8684210526315788,Scanlon
Davinson Sánchez,DEF,Spurs,0.0,10,0,0,-474,44,True,2.631578947368421,3.0,2.8157894736842106,18.0,2.894736842105263,Sánchez
Craig Dawson,DEF,Wolves,11.1,3,1,2,4371,45,False,2.6842105263157894,3.1052631578947367,2.894736842105263,20.0,2.894736842105263,Dawson
Toti António Gomes,DEF,Wolves,1.1,3,1,2,770,44,False,2.6842105263157894,3.1052631578947367,2.894736842105263,20.0,2.894736842105263,Gomes
Nayef Aguerd,DEF,West Ham,1.6,2,1,0,-231,45,False,2.6842105263157894,3.1052631578947367,2.894736842105263,19.0,2.8157894736842106,Aguerd
Diogo Dalot Teixeira,DEF,Man Utd,6.2,17,1,11,27391,49,False,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Teixeira
Amadou Onana,MID,Everton,0.6,11,1,2,-97,48,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,8.0,2.894736842105263,Onana
Adrián San Miguel del Castillo,GK,Liverpool,0.0,9,0,0,-428,40,True,2.5789473684210527,2.9473684210526314,2.763157894736842,12.0,2.8684210526315788,Castillo
Youssef Ramalho Chermiti,FWD,Everton,0.2,11,0,1,40,49,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,8.0,2.894736842105263,Chermiti
Bukayo Saka,MID,Arsenal,8.2,7,1,5,-470223,85,False,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.8684210526315788,Saka
Ben Mee,DEF,Brentford,0.0,6,0,0,-21245,48,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Mee
