chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,roi,position
,,518620,0,0,0,0,0,3,0.0,,0,Ângelo Gabriel,0.0,151,False,,,4.5,518620.jpg,0.0,Borges Damaceno,0.4,False,,a,6,8,0,0,0,0,0,0.0,0.0,Ângelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,508,207,507,208,499,205,511,208,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,478,239,249,43,510,208,306,99,0.0,0.0,0.0,MID
,,109745,0,0,0,0,0,1,1.2,,0,Kepa,0.0,152,False,,,4.5,109745.jpg,0.0,Arrizabalaga,0.5,False,,a,6,8,0,0,0,0,0,0.0,0.0,Arrizabalaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,466,59,460,50,440,38,469,59,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,338,21,109,37,467,59,264,37,0.0,0.0,0.0,GKP
,,242880,0,0,0,0,0,2,0.9,,0,Benoît,0.0,153,False,,,4.5,242880.jpg,1.9,Badiashile,0.2,False,,a,6,8,35,0,0,0,0,0.0,7.8,B.Badiashile,1337,0,1,3,31,1,0,0,3,0,0,4,267,336.4,87.4,51.0,47.5,15,0.27,0.92,1.19,25.42,198,73,271,92,285,96,254,87,,,,,,,0.02,0.0,0.06,0.08,1.71,2.09,413,116,184,126,288,99,377,147,1.01,0.2,77.77777777777777,DEF
,,482158,0,0,0,0,0,1,0.0,,0,Lucas,0.0,154,False,,,4.0,482158.jpg,0.0,Bergström,0.1,False,,a,6,8,0,0,0,0,0,0.0,0.0,Bergström,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,447,53,438,41,413,25,450,53,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,560,61,60,24,448,53,459,61,0.0,0.0,0.0,GKP
,,122074,0,0,0,0,0,1,0.0,,0,Marcus,0.0,155,False,,,4.0,122074.jpg,0.0,Bettinelli,0.3,False,,a,6,8,-1,0,0,0,0,0.0,-0.2,Bettinelli,0,0,0,0,0,0,0,0,1,0,0,0,-3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,409,38,398,24,371,8,412,38,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,514,44,14,7,411,38,318,47,0.0,0.0,-2.5,GKP
,,440323,0,0,0,0,0,4,0.7,,0,Armando,0.0,156,False,,,5.5,440323.jpg,1.7,Broja,0.1,False,,a,6,8,35,0,0,0,0,0.0,6.4,Broja,529,1,2,3,9,0,0,0,0,0,0,0,72,75.6,70.3,152.0,29.0,6,2.24,0.23,2.47,8.40,340,38,280,33,184,35,309,35,,,,,,,0.38,0.0,0.04,0.42,1.43,1.53,141,36,468,36,322,39,503,67,1.02,0.51,63.63636363636363,FWD
,,486672,0,0,0,0,0,3,0.5,,0,Moisés,0.0,157,False,,,5.0,486672.jpg,2.4,Caicedo Corozo,0.7,False,,a,6,8,84,0,0,0,0,0.0,16.8,Caicedo,2865,1,3,7,50,0,0,0,11,0,0,6,466,613.6,403.2,68.0,108.2,33,0.42,2.01,2.43,46.79,80,31,83,61,259,133,121,73,,,,,,,0.01,0.0,0.06,0.07,1.47,1.57,281,179,391,139,221,92,204,66,1.04,0.22,168.0,MID
,,505187,0,0,0,0,0,3,0.0,,0,Cesare,0.0,158,False,,,4.5,505187.jpg,1.0,Casadei,0.1,False,,a,6,8,11,0,0,0,0,0.0,2.4,Casadei,71,0,0,0,3,0,0,0,0,0,0,0,38,19.8,27.4,2.0,5.1,0,0.00,0.08,0.08,3.48,372,169,325,161,358,179,371,168,,,,,,,0.0,0.0,0.1,0.1,4.41,3.8,471,234,242,38,375,173,460,155,0.0,0.0,24.444444444444443,MID
,,180736,0,0,0,0,0,2,0.9,,0,Trevoh,0.0,159,False,,,4.5,180736.jpg,3.0,Chalobah,0.3,False,,a,6,8,39,0,0,0,0,0.0,8.7,Chalobah,949,1,0,3,14,0,0,0,1,0,0,4,221,250.8,45.4,38.0,33.4,10,0.20,0.16,0.36,15.26,250,91,309,112,298,104,300,109,,,,,,,0.02,0.0,0.02,0.04,1.45,1.33,363,77,134,87,144,34,341,129,0.95,0.28,86.66666666666667,DEF
,,172850,0,0,0,0,0,2,1.4,,0,Ben,0.0,160,False,,,5.0,172850.jpg,1.8,Chilwell,0.9,False,,a,6,8,24,0,0,0,0,0.0,4.8,Chilwell,752,0,2,1,14,0,0,0,5,0,0,2,123,128.4,212.8,139.0,48.0,9,1.11,1.62,2.73,12.50,310,116,170,40,195,54,253,86,1.0,,4.0,,,,0.13,0.0,0.19,0.32,1.5,1.68,200,22,310,156,302,105,194,68,1.08,0.12,48.0,DEF
